20170901 053000;1.189980;1.190060;1.189880;1.189930;0
20170901 053100;1.189950;1.190060;1.189930;1.190020;0
20170901 053200;1.190000;1.190070;1.189950;1.190070;0
20170901 053300;1.190110;1.190180;1.189910;1.189910;0
20170901 053400;1.189900;1.189910;1.189800;1.189880;0
20170901 053500;1.189890;1.190010;1.189870;1.189980;0
20170901 053600;1.189980;1.189980;1.189740;1.189760;0
20170901 053700;1.189770;1.189770;1.189660;1.189730;0
20170901 053800;1.189710;1.189710;1.189610;1.189660;0
20170901 053900;1.189670;1.189710;1.189620;1.189700;0
20170901 054000;1.189720;1.189720;1.189530;1.189600;0
20170901 054100;1.189650;1.189710;1.189520;1.189520;0
20170901 054200;1.189510;1.189560;1.189490;1.189490;0
20170901 054300;1.189480;1.189530;1.189460;1.189530;0
20170901 054400;1.189540;1.189710;1.189530;1.189680;0
20170901 054500;1.189690;1.189690;1.189570;1.189570;0
20170901 054600;1.189590;1.189590;1.189520;1.189570;0
20170901 054700;1.189560;1.189560;1.189410;1.189460;0
20170901 054800;1.189460;1.189460;1.189300;1.189300;0
20170901 054900;1.189320;1.189400;1.189290;1.189310;0
20170901 055000;1.189330;1.189420;1.189300;1.189420;0
20170901 055100;1.189410;1.189480;1.189280;1.189280;0
20170901 055200;1.189260;1.189410;1.189260;1.189290;0
20170901 055300;1.189300;1.189300;1.189220;1.189240;0
20170901 055400;1.189260;1.189380;1.189120;1.189290;0
20170901 055500;1.189280;1.189340;1.189280;1.189330;0
20170901 055600;1.189320;1.189520;1.189320;1.189480;0
20170901 055700;1.189500;1.189500;1.189310;1.189360;0
20170901 055800;1.189360;1.189420;1.189310;1.189320;0
20170901 055900;1.189320;1.189490;1.189320;1.189460;0
20170901 060000;1.189480;1.192960;1.189420;1.192510;0
20170901 060100;1.192490;1.192790;1.191140;1.191260;0
20170901 060200;1.191250;1.192100;1.191240;1.191900;0
20170901 060300;1.191910;1.192000;1.191230;1.191280;0
20170901 060400;1.191300;1.191300;1.190580;1.190760;0
20170901 060500;1.190710;1.190960;1.190670;1.190880;0
20170901 060600;1.190890;1.191350;1.190850;1.191340;0
20170901 060700;1.191350;1.191520;1.191190;1.191400;0
20170901 060800;1.191420;1.191460;1.191180;1.191270;0
20170901 060900;1.191280;1.191320;1.191070;1.191160;0
20170901 061000;1.191150;1.191310;1.191020;1.191110;0
20170901 061100;1.191140;1.191260;1.191090;1.191130;0
20170901 061200;1.191120;1.191120;1.190920;1.191000;0
20170901 061300;1.191020;1.191090;1.190760;1.190920;0
20170901 061400;1.190940;1.190940;1.190680;1.190720;0
20170901 061500;1.190750;1.190820;1.190540;1.190580;0
20170901 061600;1.190590;1.190880;1.190590;1.190850;0
20170901 061700;1.190830;1.191170;1.190820;1.191160;0
20170901 061800;1.191190;1.191420;1.191190;1.191340;0
20170901 061900;1.191330;1.191480;1.191330;1.191460;0
20170901 062000;1.191440;1.191480;1.191310;1.191410;0
20170901 062100;1.191390;1.191580;1.191380;1.191480;0
20170901 062200;1.191500;1.191580;1.191410;1.191470;0
20170901 062300;1.191490;1.191580;1.191380;1.191470;0
20170901 062400;1.191450;1.191460;1.191330;1.191330;0
20170901 062500;1.191340;1.191410;1.191200;1.191290;0
20170901 062600;1.191300;1.191330;1.191070;1.191080;0
20170901 062700;1.191090;1.191120;1.190900;1.190990;0
20170901 062800;1.191010;1.191180;1.190980;1.191060;0
20170901 062900;1.191100;1.191170;1.190990;1.191060;0
20170901 063000;1.191060;1.191180;1.190930;1.191180;0
20170901 063100;1.191230;1.191280;1.191090;1.191220;0
20170901 063200;1.191240;1.191360;1.191220;1.191360;0
20170901 063300;1.191380;1.191460;1.191230;1.191230;0
20170901 063400;1.191210;1.191480;1.191210;1.191430;0
20170901 063500;1.191440;1.191690;1.191430;1.191500;0
20170901 063600;1.191520;1.191610;1.191220;1.191230;0
20170901 063700;1.191250;1.191430;1.191230;1.191310;0
20170901 063800;1.191270;1.191290;1.191180;1.191190;0
20170901 063900;1.191190;1.191370;1.191050;1.191330;0
20170901 064000;1.191330;1.191440;1.191330;1.191430;0
20170901 064100;1.191430;1.191680;1.191430;1.191430;0
20170901 064200;1.191440;1.191490;1.191390;1.191460;0
20170901 064300;1.191460;1.191460;1.191320;1.191330;0
20170901 064400;1.191360;1.191470;1.191320;1.191470;0
20170901 064500;1.191470;1.191630;1.191470;1.191600;0
20170901 064600;1.191590;1.191710;1.191470;1.191540;0
20170901 064700;1.191530;1.191590;1.191430;1.191470;0
20170901 064800;1.191480;1.191550;1.191430;1.191540;0
20170901 064900;1.191560;1.191610;1.191470;1.191480;0
20170901 065000;1.191490;1.191520;1.191480;1.191510;0
20170901 065100;1.191540;1.191540;1.191400;1.191500;0
20170901 065200;1.191490;1.191600;1.191440;1.191470;0
20170901 065300;1.191460;1.191610;1.191440;1.191590;0
20170901 065400;1.191590;1.191620;1.191290;1.191310;0
20170901 065500;1.191320;1.191450;1.191320;1.191340;0
20170901 065600;1.191310;1.191350;1.191290;1.191340;0
20170901 065700;1.191350;1.191360;1.191320;1.191360;0
20170901 065800;1.191350;1.191490;1.191350;1.191490;0
20170901 065900;1.191500;1.191500;1.191410;1.191460;0
20170901 070000;1.191450;1.191450;1.191250;1.191270;0
20170901 070100;1.191270;1.191270;1.191110;1.191200;0
20170901 070200;1.191190;1.191450;1.191190;1.191270;0
20170901 070300;1.191250;1.191470;1.191180;1.191430;0
20170901 070400;1.191420;1.191600;1.191320;1.191430;0
20170901 070500;1.191410;1.191450;1.191290;1.191410;0
20170901 070600;1.191440;1.191450;1.191200;1.191390;0
20170901 070700;1.191390;1.191430;1.191060;1.191170;0
20170901 070800;1.191140;1.191140;1.191010;1.191010;0
20170901 070900;1.191000;1.191120;1.191000;1.191120;0
20170901 071000;1.191110;1.191230;1.191070;1.191170;0
20170901 071100;1.191160;1.191280;1.191160;1.191240;0
20170901 071200;1.191240;1.191360;1.191190;1.191230;0
20170901 071300;1.191220;1.191360;1.191170;1.191170;0
20170901 071400;1.191180;1.191230;1.191170;1.191200;0
20170901 071500;1.191180;1.191300;1.191120;1.191270;0
20170901 071600;1.191260;1.191350;1.191230;1.191310;0
20170901 071700;1.191300;1.191390;1.191300;1.191370;0
20170901 071800;1.191410;1.191650;1.191410;1.191520;0
20170901 071900;1.191530;1.191580;1.191460;1.191530;0
20170901 072000;1.191550;1.191820;1.191550;1.191680;0
20170901 072100;1.191670;1.191670;1.191570;1.191580;0
20170901 072200;1.191600;1.191610;1.191440;1.191440;0
20170901 072300;1.191430;1.191620;1.191430;1.191510;0
20170901 072400;1.191530;1.191620;1.191460;1.191610;0
20170901 072500;1.191640;1.191670;1.191570;1.191580;0
20170901 072600;1.191600;1.191770;1.191580;1.191740;0
20170901 072700;1.191740;1.191830;1.191590;1.191610;0
20170901 072800;1.191600;1.191600;1.191530;1.191580;0
20170901 072900;1.191580;1.191710;1.191580;1.191710;0
20170901 073000;1.191700;1.191760;1.191680;1.191680;0
20170901 073100;1.191710;1.191790;1.191700;1.191740;0
20170901 073200;1.191760;1.191960;1.191730;1.191960;0
20170901 073300;1.191930;1.191950;1.191840;1.191880;0
20170901 073400;1.191870;1.191950;1.191830;1.191950;0
20170901 073500;1.191960;1.192030;1.191930;1.192030;0
20170901 073600;1.192010;1.192120;1.191970;1.192030;0
20170901 073700;1.192050;1.192240;1.192050;1.192090;0
20170901 073800;1.192100;1.192250;1.192030;1.192170;0
20170901 073900;1.192170;1.192210;1.191980;1.192210;0
20170901 074000;1.192190;1.192190;1.191860;1.192010;0
20170901 074100;1.192000;1.192060;1.191820;1.191840;0
20170901 074200;1.191860;1.191960;1.191750;1.191960;0
20170901 074300;1.191970;1.192010;1.191670;1.191670;0
20170901 074400;1.191660;1.191670;1.191560;1.191610;0
20170901 074500;1.191630;1.192020;1.191550;1.192000;0
20170901 074600;1.191980;1.192080;1.191950;1.192060;0
20170901 074700;1.192060;1.192090;1.191940;1.192030;0
20170901 074800;1.192040;1.192290;1.191890;1.192240;0
20170901 074900;1.192240;1.192280;1.192050;1.192070;0
20170901 075000;1.192060;1.192120;1.192050;1.192110;0
20170901 075100;1.192120;1.192310;1.192120;1.192310;0
20170901 075200;1.192330;1.192340;1.192180;1.192270;0
20170901 075300;1.192260;1.192480;1.192190;1.192400;0
20170901 075400;1.192390;1.192440;1.192150;1.192150;0
20170901 075500;1.192190;1.192210;1.191950;1.192040;0
20170901 075600;1.192040;1.192110;1.191630;1.191870;0
20170901 075700;1.191870;1.191870;1.191710;1.191770;0
20170901 075800;1.191760;1.191790;1.191610;1.191750;0
20170901 075900;1.191770;1.191770;1.191520;1.191610;0
20170901 080000;1.191610;1.191650;1.191480;1.191490;0
20170901 080100;1.191480;1.191760;1.191470;1.191660;0
20170901 080200;1.191640;1.191900;1.191620;1.191870;0
